biceps,triceps,t
-0.00679969927296042,-0.000294424535240978,1713350763.72188
-0.00675435876473784,-0.000281851331237704,1713350763.72235
-0.0067029120400548,-0.000254156620940194,1713350763.74533
-0.00674705067649484,-0.00026759528554976,1713350763.74673
-0.00654938910156488,-0.00027050418430008,1713350763.78123
-0.00670271972194314,-0.000283582252450287,1713350763.78269
-0.00671507650986314,-0.000251656398177147,1713350763.8406
-0.00670892233029008,-0.000324355001794174,1713350763.84188
-0.00674248300492764,-0.000241679575992748,1713350763.84322
-0.00671288883313537,-0.000307983398670331,1713350763.84435
-0.00672543793916702,-0.000288534589344636,1713350763.89727
-0.00673935748636723,-0.0003724601410795,1713350763.89901
-0.00673392415046692,-0.000324883905705065,1713350763.92937
-0.0067152688279748,-0.000363372819265351,1713350763.93107
-0.0067897466942668,-0.000366305757779628,1713350763.96888
-0.00674012675881386,-0.000349212932633236,1713350763.9699
-0.00670560449361801,-0.000361641898052767,1713350764.01329
-0.00672305794432759,-0.000357747310772538,1713350764.01485
-0.00670296000316739,-0.000372123555280268,1713350764.03722
-0.00670168595388532,-0.000373037095414475,1713350764.03881
-0.00674212211742997,-0.000379455916117877,1713350764.09277
-0.00670716725289822,-0.000434148154454306,1713350764.09391
-0.006679592654109,-0.000380585843231529,1713350764.12095
-0.0066496143117547,-0.000360343692591414,1713350764.12299
-0.00664151273667812,-0.000358300254447386,1713350764.16084
-0.0066455751657486,-0.000400803925003856,1713350764.16242
-0.00660787988454104,-0.000371811038348824,1713350764.20145
-0.00664196908473969,-0.000363324739737436,1713350764.20226
-0.00655991910025477,-0.000303535896819085,1713350764.23266
-0.00662776129320264,-0.00042441175901331,1713350764.23408
-0.0066439644433558,-0.000362194812623784,1713350764.28521
-0.00665257126092911,-0.000364142091711983,1713350764.28625
-0.00656417431309819,-0.000370032037608325,1713350764.33789
-0.00662516476586461,-0.000393591762986034,1713350764.33887
-0.00665985560044646,-0.000398159463657066,1713350764.42181
-0.00668319873511791,-0.000381258956622332,1713350764.42301
-0.00659559527412057,-0.000385177583666518,1713350764.44918
-0.0065739587880671,-0.000383687060093507,1713350764.45082
-0.0066409595310688,-0.000390875182347372,1713350764.47379
-0.00667129876092076,-0.000382701400667429,1713350764.4752
-0.00654506171122193,-0.000390706903999671,1713350764.49664
-0.00661653419956565,-0.000367026979802176,1713350764.49782
-0.00664172880351543,-0.000343803811119869,1713350764.52901
-0.00662771333009005,-0.000378133699996397,1713350764.53019
-0.00659333541989327,-0.000370512861991301,1713350764.56095
-0.00661730347201228,-0.000369334855349734,1713350764.56256
-0.00667401542887092,-0.000376498937839642,1713350764.59281
-0.00658936845138669,-0.000366185558959842,1713350764.59446
-0.00659506628289819,-0.000358372373739257,1713350764.64459
-0.00660725496709347,-0.000364238279871643,1713350764.64561
-0.00667468830943108,-0.000369959918316454,1713350764.67705
-0.00658857543021441,-0.000355150928953663,1713350764.67857
-0.00661372160539031,-0.000362867955118418,1713350764.7247
-0.00658359890803695,-0.000377941381884739,1713350764.72567
-0.00662095798179507,-0.000374335300875828,1713350764.7571
-0.00656585674732924,-0.000373590039089322,1713350764.7585
-0.00659052236005664,-0.00036390169407241,1713350764.80208
-0.0066295163705945,-0.000386908504879102,1713350764.80303
-0.00659600365906954,-0.000396236224332824,1713350764.87339
-0.00660379277542234,-0.000417800591094419,1713350764.87493
-0.00658119469881058,-0.000378975120838732,1713350764.92085
-0.00657275645062327,-0.000372868817066774,1713350764.92246
-0.00658929627388716,-0.000329115020576864,1713350764.95306
-0.00659234961494803,-0.000439749623183161,1713350764.95477
-0.00658831093460321,-0.000391476205550134,1713350764.98116
-0.00660595670342445,-0.0003908030630555,1713350764.98284
-0.00658004079014063,-0.000389360619010404,1713350765.00471
-0.00659650843590498,-0.000393495603930205,1713350765.00617
-0.00660412944853306,-0.00036267563700676,1713350765.0612
-0.0066025429405272,-0.000422536570113152,1713350765.06267
-0.00660049915313721,-0.00040412152884528,1713350765.07731
-0.0065963645465672,-0.000390202039852738,1713350765.07896
-0.00659172469750047,-0.000373085174942389,1713350765.13283
-0.00658573862165213,-0.000428234197897837,1713350765.13391
-0.00658206036314368,-0.000411814486142248,1713350765.15747
-0.00658294977620244,-0.000411718327086419,1713350765.15876
-0.00658739730715752,-0.000408689229516313,1713350765.26492
-0.00658210832625628,-0.000402222329284996,1713350765.26681
-0.00656032748520374,-0.00040712658665143,1713350765.30922
-0.00657114572823048,-0.000407150626415387,1713350765.31044
-0.00654200883582234,-0.000405131228035316,1713350765.3168
-0.00659396033734083,-0.000419435353251174,1713350765.31837
-0.00656936690211296,-0.000415757152950391,1713350765.32483
-0.00656790053471923,-0.000413761794334278,1713350765.32619
-0.00656580878421664,-0.000417896750150248,1713350765.35293
-0.00655042286962271,-0.000420733529608697,1713350765.35467
-0.00654888432472944,-0.000409747008234262,1713350765.4009
-0.00656268373131752,-0.000409747008234262,1713350765.4025
-0.00656321225687861,-0.000447899365099147,1713350765.43679
-0.00656261155381799,-0.00041647837497294,1713350765.49284
-0.00657193921506405,-0.000418401614297181,1713350765.50872
-0.00658355094492435,-0.000433619279647246,1713350765.51068
-0.00656001502647996,-0.000465809571323916,1713350765.52907
-0.00655496632680297,-0.000433090375736356,1713350765.53057
-0.00656249141320586,-0.000430902699008584,1713350765.58086
-0.00653268117457628,-0.000416863011196256,1713350765.58303
-0.00650770263746381,-0.00040289547177963,1713350765.60528
-0.00657965615391731,-0.000436456059105694,1713350765.60683
-0.00645575113594532,-0.000396620889659971,1713350765.66867
-0.00621702848002315,-0.000371185975382105,1713350765.66972
-0.00659564323723316,-0.000445014477008954,1713350765.69712
-0.00649219658225775,-0.000417896750150248,1713350765.69876
-0.00629727588966489,-0.000377124000806361,1713350765.72085
-0.00641639670357108,-0.000414507027016953,1713350765.72244
-0.00642113294452429,-0.000423089513788,1713350765.78165
-0.00644627911970019,-0.000414915732108057,1713350765.78288
-0.00649337470531464,-0.000462083262391388,1713350765.80069
-0.00631747022271156,-0.000426310958573595,1713350765.80192
-0.00615247990936041,-0.000403784972149879,1713350765.84501
-0.00651397742331028,-0.00048994628014043,1713350765.84675
-0.00658196397125721,-0.00044354802230373,1713350765.87319
-0.00645106332376599,-0.000444798119133338,1713350765.87463
-0.00613517081364989,-0.000435903115430847,1713350765.92506
-0.00624099699780345,-0.000378181779524311,1713350765.92652
-0.00603456096723676,-0.000322359643178061,1713350765.96487
-0.00656436663120985,-0.000439124560216442,1713350765.96629
-0.00648681167513132,-0.000442995078628883,1713350766.00934
-0.00619553634896874,-0.000308223796309903,1713350766.04873
-0.00638877414166927,-0.000427561055403203,1713350766.10059
-0.00615423452109098,-0.000375248841010034,1713350766.10212
-0.00626883609220386,-0.000333947187755257,1713350766.13263
-0.00625611841678619,-0.000413785834098235,1713350766.13363
-0.00639180326834321,-0.0003988326061517,1713350766.15316
-0.00622714962810278,-0.000382412923499942,1713350766.15472
-0.00587673485279083,-0.000370681140339002,1713350766.1774
-0.00658920034766197,-0.000469680089736357,1713350766.17895
-0.00600902969017625,-0.000362651597242802,1713350766.22902
-0.0065184491686523,-0.000443836499471217,1713350766.23042
-0.00620358996093273,-0.00036532009835355,1713350766.25273
-0.00602376693859696,-0.000350078393239528,1713350766.25422
-0.00625244015827775,-0.000356689532054588,1713350766.31705
-0.00635732943192124,-0.000376138341380283,1713350766.31864
-0.00604256661608815,-0.000324018445098773,1713350766.346
-0.00652734376490116,-0.000453933520475403,1713350766.34678
-0.00636598374694586,-0.000407583371270448,1713350766.38525
-0.00629061693325639,-0.000378205819288269,1713350766.38675
-0.00625465204939246,-0.000371161935618147,1713350766.40939
-0.0063125416636467,-0.000388495187507942,1713350766.41127
-0.00635631941258907,-0.000394793809391558,1713350766.4647
-0.0063342503271997,-0.000389288499718532,1713350766.46615
-0.00630482472479343,-0.000384913146262988,1713350766.54065
-0.00635850708931685,-0.000396596849896014,1713350766.5423
-0.00643173465505242,-0.000409867207054049,1713350766.56129
-0.00636184867471457,-0.000393135007470846,1713350766.56279
-0.00638358155265451,-0.000433258654084057,1713350766.59349
-0.00637771561741829,-0.000388879823731259,1713350766.62205
-0.00638194661587477,-0.000403568585170433,1713350766.64135
-0.00638225907459855,-0.0004068621492479,1713350766.64273
-0.00639882311224937,-0.000399385549826548,1713350766.6696
-0.00637521548196673,-0.000387341220630333,1713350766.67113
-0.0064073815010488,-0.000440951640484855,1713350766.69323
-0.00639348616823554,-0.000381331105018035,1713350766.69482
-0.00639403937384486,-0.000411429849918932,1713350766.72124
-0.00640045804902911,-0.000351905473507941,1713350766.72288
-0.00646317983046174,-0.000481580151244998,1713350766.76121
-0.00642045959830284,-0.000513481965754181,1713350766.76262
-0.00641500251367688,-0.000451505446108058,1713350766.81333
-0.00640726136043668,-0.000430878659244627,1713350766.81483
-0.00640468904748559,-0.000396548741264269,1713350766.86881
-0.00640367949381471,-0.000415348447859287,1713350766.87047
-0.00642459467053413,-0.000467155827209353,1713350766.91691
-0.00640750164166093,-0.00043181623914279,1713350766.91821
-0.00643094116821885,-0.000439917901530862,1713350766.93732
-0.00643950002267957,-0.000435037654824555,1713350766.93872
-0.00644764956086874,-0.000438643735833466,1713350766.95275
-0.0064505822956562,-0.000439364957856014,1713350766.95419
-0.00643190322443843,-0.000430181476986036,1713350767.04088
-0.00644284160807729,-0.000444124976638705,1713350767.04235
-0.00643772073090076,-0.000441288197180256,1713350767.06092
-0.00641644513234496,-0.000439725583419204,1713350767.06253
-0.00642245495691896,-0.000436119502410293,1713350767.10919
-0.00642548408359289,-0.000444990437244996,1713350767.11059
-0.00643245596438646,-0.000457154965260997,1713350767.1286
-0.00632348004728556,-0.000413088651839644,1713350767.13023
-0.00647493544965982,-0.000467444304376841,1713350767.1729
-0.00642341654747725,-0.000463934411527589,1713350767.17461
-0.00640406413003802,-0.000455159606644884,1713350767.20133
-0.00640565063804388,-0.000468237645691261,1713350767.20295
-0.00640238123014569,-0.000451769883511588,1713350767.24882
-0.00642728712409735,-0.000463838223367929,1713350767.24998
-0.00634927581995726,-0.000443932658527046,1713350767.30465
-0.0064222146756947,-0.000464679644210264,1713350767.30612
-0.00636675301939249,-0.000455063447589055,1713350767.34484
-0.00650960206985474,-0.000482109055155888,1713350767.34641
-0.00639762124046683,-0.00045898204552941,1713350767.35268
-0.00617447681725025,-0.000479031848954037,1713350767.35415
-0.00647034402936697,-0.000495139043778181,1713350767.45327
-0.00648589804768562,-0.000484128453535959,1713350767.45484
-0.00624361727386713,-0.000435157853644341,1713350767.489
-0.00630761357024312,-0.000447610858827829,1713350767.49046
-0.00632247049361467,-0.000485931494040415,1713350767.52113
-0.00647767633199692,-0.000481315713841468,1713350767.52248
-0.0063765374943614,-0.000450375518994406,1713350767.54146
-0.00621690833941102,-0.000401020282879472,1713350767.54263
-0.00586627703160048,-0.000398808566387743,1713350767.56149
-0.00622924137860537,-0.000450135121354833,1713350767.56262
-0.00578201515600085,-0.00029307825025171,1713350767.61295
-0.00626494130119681,-0.000484440970467404,1713350767.61434
-0.00572936609387398,-0.000381499383365735,1713350767.64516
-0.0062599889934063,-0.000447514699772,1713350767.64655
-0.00631049834191799,-0.000454895140137523,1713350767.70248
-0.00646195374429226,-0.000515453284606338,1713350767.70424
-0.00561923673376441,-0.000314859003992751,1713350767.72914
-0.00625263247638941,-0.000507664168253541,1713350767.73061
-0.00599972624331713,-0.000367627973901108,1713350767.7814
-0.00566517794504762,-0.000384408282116055,1713350767.78292
-0.00587274413555861,-0.000401669385610148,1713350767.80079
-0.00626866752281785,-0.000456577981822193,1713350767.80232
-0.00627696188166738,-0.000471483130240813,1713350767.84127
-0.00572369247674942,-0.000424844474764541,1713350767.84287
-0.00597919570282102,-0.000397678668377921,1713350767.88922
-0.00629251589998603,-0.000471651408588514,1713350767.89082
-0.00550009170547128,-0.000319643062539399,1713350767.90917
-0.00610973592847586,-0.000386259402148426,1713350767.91085
-0.00612699659541249,-0.000430902699008584,1713350767.95826
-0.00607468467205763,-0.000461338029708713,1713350767.95917
-0.00588012440130115,-0.00039592370740138,1713350768.01723
-0.00581254670396447,-0.000366401916835457,1713350768.01886
-0.00600792421028018,-0.000422945275204256,1713350768.04097
-0.00608064653351903,-0.00038604304427281,1713350768.04254
-0.00607506930828095,-0.000392125308280811,1713350768.10108
-0.00607677595689893,-0.000413040572311729,1713350768.10262
-0.00611552968621254,-0.000405780330765992,1713350768.11668
-0.00620741257444024,-0.00041611774940975,1713350768.11816
-0.00601052027195692,-0.000388230721000582,1713350768.17266
-0.00610923068597913,-0.000417512113926932,1713350768.17423
-0.00626049377024174,-0.000438403338193893,1713350768.19268
-0.00614271918311715,-0.000409194093663245,1713350768.19424
-0.00615404220297933,-0.000414050271501765,1713350768.31303
-0.00618204986676574,-0.000427152379415929,1713350768.31449
-0.0061416132375598,-0.000397919066017494,1713350768.33273
-0.00615683104842901,-0.00040871326928027,1713350768.33404
-0.00617207260802388,-0.00042150283115916,1713350768.3661
-0.00617079855874181,-0.000425926293246448,1713350768.36685
-0.006195945199579,-0.000445903977379203,1713350768.40519
-0.00618120841681957,-0.000428690953413025,1713350768.40732
-0.00618366058915854,-0.000436191621702164,1713350768.42485
-0.00613716617226601,-0.000422007695306093,1713350768.42649
-0.00623453035950661,-0.000456145266070962,1713350768.44887
-0.006186593323946,-0.000442273856606334,1713350768.45033
-0.00619428651407361,-0.000441913260146976,1713350768.48513
-0.00620027258992195,-0.00045210644020699,1713350768.48644
-0.00620022416114807,-0.00045475090155378,1713350768.56117
-0.00620423909276724,-0.000468261685455218,1713350768.56294
-0.00620596995577216,-0.00043429242214188,1713350768.58128
-0.00621967297047377,-0.00046542490599677,1713350768.58292
-0.00620375806465745,-0.000465617224108428,1713350768.59705
-0.00619808491319418,-0.000435494439443573,1713350768.59848
