harmstring,cuadriceps,t
-0.000202301162062213,-0.00280841626226902,1713350763.72179
-0.000270576303591952,-0.00280692568048835,1713350763.72283
-0.000200714493985288,-0.00280339177697897,1713350763.7645
-0.000280048290733248,-0.00280363205820322,1713350763.76606
-0.000275696947937831,-0.00280632474459708,1713350763.78084
-0.000204248455702327,-0.00279649207368493,1713350763.78195
-0.000404626363888383,-0.00280387257225811,1713350763.84025
-0.000204512893105857,-0.00279656425118446,1713350763.84129
-0.000254397018579766,-0.00280127627775073,1713350763.86873
-0.000205883203307167,-0.00278718839399517,1713350763.86999
-0.000200666414457373,-0.00279257353395224,1713350763.89676
-0.000311060575768352,-0.00279144360683858,1713350763.89803
-0.00018984817143064,-0.00278947222977877,1713350763.9405
-0.000280697393463925,-0.00279089063405991,1713350763.94151
-0.000282596593024209,-0.00277550471946597,1713350764.01275
-0.000177563444594853,-0.00278620282188058,1713350764.01371
-0.000185496828635223,-0.00277531240135431,1713350764.02849
-0.000194872642168775,-0.00277204299345613,1713350764.02985
-0.000322047126246616,-0.0027824763674289,1713350764.05716
-0.000130323780467734,-0.00278057716786861,1713350764.05789
-0.000188934631296434,-0.00277983210980892,1713350764.12045
-0.000219057430513203,-0.00279384758323431,1713350764.12188
-0.000155181711306795,-0.00277213915251195,1713350764.14028
-0.00021009030751884,-0.00276538357138634,1713350764.14148
-0.000326109962770715,-0.00276949466206133,1713350764.24042
-0.000211027887417004,-0.00276509509421885,1713350764.24123
-0.000133328852825798,-0.00275026215240359,1713350764.26122
-9.33253904804587E-05,-0.00276721082627773,1713350764.26195
-0.000273797748377547,-0.00276692234911025,1713350764.27662
-0.00011476955114631,-0.00276047945953906,1713350764.27802
-0.000178717396920547,-0.00274646375328302,1713350764.29664
-0.000182996605872177,-0.0027577867731452,1713350764.29746
-0.000113086716737598,-0.00274817063473165,1713350764.33658
-0.000127342762425542,-0.00272227893583477,1713350764.33811
-0.00026362860808149,-0.00273331347852945,1713350764.37238
-0.000221100868657231,-0.00273913145065308,1713350764.37358
-0.000200329843210056,-0.00271504279226065,1713350764.42077
-0.000145878017065115,-0.00272660632617772,1713350764.42215
-0.000178236587089486,-0.00273518869653344,1713350764.47233
-9.5633280579932E-05,-0.00273295305669308,1713350764.47358
-0.000177924055606127,-0.00273163081146777,1713350764.5045
-0.000217302469536662,-0.0027285295072943,1713350764.50572
-3.33201933244709E-05,-0.00271626887843013,1713350764.57701
-0.00027103308821097,-0.00272263959050179,1713350764.57865
2.5867624572129E-05,-0.00271929800510406,1713350764.60501
-0.000125155071145855,-0.00272384169511497,1713350764.60614
-3.72868817066774E-05,-0.00271751894615591,1713350764.65727
-4.81772476632614E-05,-0.00271819205954671,1713350764.6579
-4.33210589108057E-05,-0.00273189507424831,1713350764.69681
-0.000217302469536662,-0.00270410440862179,1713350764.69814
-2.99304756481433E-05,-0.00272011524066329,1713350764.70469
-4.79608825116884E-05,-0.00272675044834614,1713350764.78444
-6.62076563457958E-05,-0.00271631684154272,1713350764.81685
-0.000152080479892902,-0.00272444263100624,1713350764.81807
-0.000136261791340075,-0.00275612808763981,1713350764.88065
-0.000126092651044019,-0.00275196903385222,1713350764.88201
-0.000119433418149129,-0.00279007339850068,1713350764.90043
-0.000118207346531563,-0.00274230469949543,1713350764.90166
-0.000122029792692047,-0.00276230648159981,1713350764.92865
-0.000126116690807976,-0.00285462220199406,1713350764.92991
-0.000148690756759606,-0.00271910568699241,1713350764.95427
-0.000162922762683593,-0.00273646297864616,1713350764.95492
-0.000176289308001287,-0.00271506677381694,1713350764.98078
-0.000179558817762882,-0.00272081256844103,1713350764.98275
-0.000168980972375721,-0.00273872260004282,1713350765.06079
-0.000163283373694867,-0.00274059781804681,1713350765.06194
-0.000170615734532475,-0.00272052409127355,1713350765.08887
-0.000175303634023294,-0.00271470611914992,1713350765.08999
-0.00019306960166432,-0.00269581028260291,1713350765.10519
-0.000190449180081487,-0.00270215701311827,1713350765.10568
-0.000191290600923821,-0.0027083836030215,1713350765.1324
-0.000191002109204419,-0.00272191828116775,1713350765.13336
-0.000173789085238241,-0.00275620026513934,1713350765.18487
-0.000165807621669956,-0.00275442120619118,1713350765.18612
-0.000148955208715051,-0.00276196980848908,1713350765.21255
-0.000137608061777428,-0.00276564806699753,1713350765.21312
-0.000114024296635762,-0.00276692234911025,1713350765.23711
-0.000122390410979278,-0.00276639335788786,1713350765.2384
-0.000118928568554111,-0.00279036187566817,1713350765.28901
-0.000111764486064203,-0.00278668361715972,1713350765.30844
-0.00010592263424769,-0.00281312805600464,1713350765.33682
-0.000102028061519377,-0.00279365526512265,1713350765.33777
-0.000104119593743235,-0.00282211927697062,1713350765.36092
